Alimento;Unidad individual;Peso unitario individual;Porción comestible;Energía (kcal/100 g);Proteína (g/100 g);Lípidos totales (g/100 g);AG Saturados (g/100 g);Colesterol (g/100 g);Hidratos de Carbono ((g/100 g);Azúcar (g/100 g);Fibra (g/100 g);Na, Sodio [mg/100 g];Subgrupo
Croutones;taza;30;1;406.7;12;6.7;1.7;0;73.7;0;5;696.7;Cereales y tubérculos sin grasa
Cuadritos de avena;taza;57;1;371.9;15.1;5.3;1.1;0;72.5;16.1;11.4;359.6;Cereales y tubérculos sin grasa
Cuadritos de avena con salvado;taza;57;1;371.9;15.1;5.3;1.1;0;72.5;16.1;11.4;359.6;Cereales y tubérculos sin grasa
Cúrcuma;g;1;1;53;4.1;0;0;0;9.6;0;1.2;0;Cereales y tubérculos sin grasa
Elote amarillo cocido;pieza;116;1;108;3.3;1.2;0.2;0;25.1;4.1;2.8;0;Cereales y tubérculos sin grasa
Elote amarillo congelado;pieza;125;1;98;3.3;0.8;0.1;0;23.5;0;2.8;3.2;Cereales y tubérculos sin grasa
Elote amarillo crudo;pieza;143;1;86;3.3;1.3;0.2;0;25.1;0;2.8;17.1;Cereales y tubérculos sin grasa
Elote amarillo desgranado cocido;taza;166;1;80;2.8;0.4;0.2;0;19.6;3.1;2.4;5;Cereales y tubérculos sin grasa
Elote amarillo desgranado crudo;taza;166;1;80;2.8;0.4;0.2;0;19.6;3.1;2.4;5;Cereales y tubérculos sin grasa
Elote amarillo enlatado;taza;164;1;80.5;2.6;1;0.1;0;18.5;2.8;2;213.4;Cereales y tubérculos sin grasa
Elote blanco cocido;pieza;143;1;86;3.2;1.2;0.2;0;19;3.2;2.7;15;Cereales y tubérculos sin grasa
Elote blanco desgranado;taza;166;1;80;2.8;0.4;0.2;0;19.6;3.1;2.4;5;Cereales y tubérculos sin grasa
Elote crudo;pieza;143;1;86;3.2;1.2;0.2;0;19;3.2;2.7;15;Cereales y tubérculos sin grasa
Elote desgranado;taza;166;1;80;2.8;0.4;0.2;0;19.6;3.1;2.4;5;Cereales y tubérculos sin grasa
Elote enlatado;taza;164;1;80.5;2.6;1;0.1;0;18.5;2.8;2;213.4;Cereales y tubérculos sin grasa
English muffin;pieza;57;1;235.1;7.7;1.8;0.2;0;46;0;2.6;463.2;Cereales y tubérculos sin grasa
Espagueti cocido;taza;140;1;124;5.3;0.5;0.1;0;26.5;0.8;4.5;3;Cereales y tubérculos sin grasa
Espagueti con espinaca cocido;taza;140;1;130;4.6;0.6;0.1;0;26.1;0;0;14.3;Cereales y tubérculos sin grasa
Espagueti crudo;g;1;1;348;14.6;1.4;0.2;0;75.2;0;0.3;8;Cereales y tubérculos sin grasa
Espagueti integral cocido;taza;140;1;124.3;5.4;0.6;0.1;0;26.6;0;4.5;2.9;Cereales y tubérculos sin grasa
Espaguetti  integral crudo;g;1;1;348;14.6;1.4;0.2;0;75.2;0;0.3;8;Cereales y tubérculos sin grasa
Espaguetti cocido;taza;140;1;124;5.3;0.5;0.1;0;26.5;0.8;4.5;3;Cereales y tubérculos sin grasa
Espaguetti con espinaca cocido;taza;140;1;130;4.6;0.6;0.1;0;26.1;0;0;14.3;Cereales y tubérculos sin grasa
Espaguetti crudo;g;1;1;348;14.6;1.4;0.2;0;75.2;0;0.3;8;Cereales y tubérculos sin grasa
Espaguetti integral cocido;taza;140;1;124;5.3;0.5;0.1;0;26.5;0.8;4.5;3;Cereales y tubérculos sin grasa
Fécula de maíz;cucharada;8;1;375;0;0;0;0;90;0;0;0;Cereales y tubérculos sin grasa
Fécula de maíz de sabor;cucharada;8;1;375;0;0;0;0;90;0;0;0;Cereales y tubérculos sin grasa
Fetuccini crudo;g;1;1;350;13.6;2.3;0.5;0;70.4;3.2;3.2;16.1;Cereales y tubérculos sin grasa
Fibra uno;taza;60;1;200;6.7;3.3;0.3;0;83.3;0;47.3;350;Cereales y tubérculos sin grasa
Fideo cocido;taza;40;1;369;12.5;1.2;0.2;0;75.2;0;0.3;2;Cereales y tubérculos sin grasa
Fideo con tomate deshidratado;cucharada;10;1;358.4;12.8;5.1;0;0;66.6;0;0;1996.8;Cereales y tubérculos sin grasa
Fideo crudo;g;1;1;357.9;13.5;2.3;0.5;0;72.5;3.3;3.3;5.3;Cereales y tubérculos sin grasa
Fideo seco deshidratado;cucharada;10;1;358.4;12.8;5.1;0;0;66.6;0;0;1996.8;Cereales y tubérculos sin grasa
Fruitcake;rebanada;40;1;323.3;2.8;9.1;1.2;4.7;61.6;43;3.7;269.8;Cereales y tubérculos sin grasa
Fusili cocido;taza;140;1;124;5.3;0.5;0.1;0;26.5;0.8;4.5;3;Cereales y tubérculos sin grasa
Fusili crudo;g;1;1;348;14.6;1.4;0.2;0;75.2;0;0.3;8;Cereales y tubérculos sin grasa
Galleta barras de higo;pieza;16;1;350;3.8;7.5;1.3;0;70.6;0;4.4;350;Cereales y tubérculos sin grasa
Galleta de animalitos;pieza;2.5;1;450;7.1;13.9;3.6;0;75;22.9;1.1;396.4;Cereales y tubérculos sin grasa
Galleta de manzana;pieza;14.5;1;344.8;3.4;0;0;0;82.8;48.3;3.4;206.9;Cereales y tubérculos sin grasa
Galleta dulce;pieza;8;1;403;9.5;10.7;0;0;66.8;0;4.1;303;Cereales y tubérculos sin grasa
Galleta dulce sin relleno;pieza;8;1;403;9.5;10.7;0;0;66.8;0;4.1;303;Cereales y tubérculos sin grasa
Galleta maría;pieza;3.75;1;366.7;6.7;6.7;0;0;73.3;60;0.3;590;Cereales y tubérculos sin grasa
Galleta para sopa;pieza;1.25;1;400;6.7;10;0;0;73.3;0;0;1533.3;Cereales y tubérculos sin grasa
Galleta salada;pieza;4;1;433;8.8;13.2;8.2;130;69.7;0;0.2;1100;Cereales y tubérculos sin grasa
Galleta salada integral;pieza;4;1;436;10;12;3.3;0;70;4;2.8;680;Cereales y tubérculos sin grasa
Galleta salada molida;cucharada;6;1;433;8.8;13.2;8.2;130;69.7;0;0.2;1100;Cereales y tubérculos sin grasa
Galletas de Avena Pasas;galletas;10;1;408;8.4;13.2;ND;ND;63.6;31.2;8.8;380;Cereales y tubérculos sin grasa
Galletas de maiz horneadas sin grasa (Salmas);pieza;6;1;355;7.7;3.3;0.6;0;72;0;7.7;377;Cereales y tubérculos sin grasa
Galletas Marías;galletas;3.75;1;366.7;6.7;6.7;0;0;73.3;60;0.3;590;Cereales y tubérculos sin grasa
Galletas Marías azucaradas;galletas;4;1;390.6;6.3;9.4;0;0;71.9;21.9;0.3;612.5;Cereales y tubérculos sin grasa
Gluten de trigo;cucharada;6;1;377.9;41.4;1.9;0;0;47.2;0;0;2.1;Cereales y tubérculos sin grasa
Granola baja en grasa;cucharada;6;1;387.8;8.4;5.9;1;0;80.2;24.5;5.9;244.9;Cereales y tubérculos sin grasa
Granola Quaker Sabor Pasas y Miel;taza;30;1;376.7;9.7;10;1;0;61.7;24.3;9.3;16.7;Cereales y tubérculos sin grasa
Habaneras arándano ciruela;pieza;9;1;396.3;7;12.2;5.9;0;64.1;12.2;8.5;463;Cereales y tubérculos sin grasa
Habaneras Bran Trigo Entero;pieza;9;1;400;9.3;13;6.3;0;61.1;4.4;8.9;500;Cereales y tubérculos sin grasa
Habaneras Bran Trigo Entero;galletas;4.5;1;400;9.4;13.1;ND;ND;61.2;4.6;8.7;500;Cereales y tubérculos sin grasa
Habaneras Clásicas;galletas;4.5;1;414;10;9.2;ND;ND;72.8;1.6;3.2;715;Cereales y tubérculos sin grasa
Habaneras Clásicas;pieza;4.615.384.615;1;403.3;8.7;7.7;3.7;0;75;0.7;3.7;700;Cereales y tubérculos sin grasa
Habaneras Integrales;galletas;4.5;1;386;10.7;8.7;ND;ND;66.1;1.6;8.5;465;Cereales y tubérculos sin grasa
Habaneras Integrales;pieza;4.666.666.667;1;375;9.6;7.1;3.6;0;68.2;0.7;8.9;464.3;Cereales y tubérculos sin grasa
Harina;cucharada;8;1;364;10.3;1;0.2;0;76.3;1.7;2.7;2.4;Cereales y tubérculos sin grasa
Harina blanca;cucharada;8;1;364;10.3;1;0.2;0;76.3;1.7;2.7;2.4;Cereales y tubérculos sin grasa
Harina blanca refinada;g;1;1;364;10.3;1;0.2;0;76.3;1.7;2.7;2.4;Cereales y tubérculos sin grasa
Harina de alforfón;cucharada;8;1;335;12.6;3.1;0.7;0;70.6;2.6;10;35.1;Cereales y tubérculos sin grasa
Harina de amaranto;cucharada;9.5;1;357;14.3;5.4;0;0;62.5;0;7;1;Cereales y tubérculos sin grasa
Harina de arroz;cucharada;9.875;1;363.3;7.2;2.8;0.6;0;76.5;0.9;4.6;8.2;Cereales y tubérculos sin grasa
Harina de arroz refinada;cucharada;101.875;1;366.3;6;1.4;0.4;0;80.1;0.1;2.4;0;Cereales y tubérculos sin grasa
Harina de cebada;cucharada;8.75;1;357;12.5;1.8;0;0;62.5;0;12.9;2.5;Cereales y tubérculos sin grasa
Harina de cebada;cucharada;8;1;345.3;10.5;1.6;0.3;0;74.5;0.8;10.1;10.8;Cereales y tubérculos sin grasa
Harina de centeno;cucharada;90.625;1;350;11.4;1.7;0;0;74.8;0;1;1;Cereales y tubérculos sin grasa
Harina de centeno integral;cucharada;8;1;324.2;14.1;2.7;0.3;0;68.8;0;22.6;0.8;Cereales y tubérculos sin grasa
Harina de maíz;cucharada;7.125;1;364.9;9.3;3.8;0.5;0;76.2;0;9.6;5.3;Cereales y tubérculos sin grasa
Harina de maíz nixtamalizada;cucharada;7.125;1;364.9;9.3;3.8;0.5;0;76.2;0;9.6;5.3;Cereales y tubérculos sin grasa
Harina de maíz para atole;cucharada;7.5;1;399;8.2;5.1;0.5;0;78.8;0;1.3;0;Cereales y tubérculos sin grasa
Harina de maíz para tamales;cucharada;7.125;1;433;9.8;4.6;0.5;0;89;0;0.7;1;Cereales y tubérculos sin grasa
Harina de papa;cucharada;9.375;1;351.1;8;0.8;0.2;0;79.9;0;6.1;34.4;Cereales y tubérculos sin grasa
Harina de trigo;cucharada;78.125;1;364;10.3;1;0.2;0;76.3;1.7;2.7;2.4;Cereales y tubérculos sin grasa
Harina de trigo integral;cucharada;7.5;1;339.2;13.7;1.8;0.3;0;72.6;2;12.2;5;Cereales y tubérculos sin grasa
Harina de trigo para panificación;cucharada;85.625;1;361.3;12;1.7;0.2;0;72.6;0;2.4;2.2;Cereales y tubérculos sin grasa
Harina de trigo para pastelería;cucharada;68.125;1;362.4;8.2;0.8;0.1;0;78.1;0;1.7;1.8;Cereales y tubérculos sin grasa
Harina integral;cucharada;7.5;1;339.2;13.7;1.8;0.3;0;72.6;2;12.2;5;Cereales y tubérculos sin grasa
Harina integral de centeno;cucharada;8;1;324.2;14.1;2.7;0.3;0;68.8;0;22.6;0.8;Cereales y tubérculos sin grasa
Harina integral de trigo;cucharada;7.5;1;339.2;13.7;1.8;0.3;0;72.6;2;12.2;5;Cereales y tubérculos sin grasa
Harina nixtamalizada;cucharada;7.125;1;377;7.1;4.5;0;0;77.4;0;9.5;1;Cereales y tubérculos sin grasa
Harina para brownies;cucharada;8.875;1;450;5;17.5;3.8;50;67.5;47.5;0;275;Cereales y tubérculos sin grasa
Harina para brownies baja en grasas;cucharada;8.875;1;342.1;5.3;6.6;1.3;0;71.1;47.4;2.6;315.8;Cereales y tubérculos sin grasa
Harina para hot cakes;cucharada;8.875;1;342.6;9.8;1.3;0.2;0;74.7;10.6;2.6;1372.3;Cereales y tubérculos sin grasa
Harina para repostería;cucharada;7.81;1;387;11.2;1.2;0;0;80.5;0;0.4;2;Cereales y tubérculos sin grasa
Harina para tamales;cucharada;7.12;1;433;9.8;4.6;0.5;0;89;0;0.7;1;Cereales y tubérculos sin grasa
Hilos de trigo entrelazados con miel maple y azúcar;pieza;2.166.666.667;1;355.8;8.1;1.5;0.4;0;81.9;24;9.6;1.9;Cereales y tubérculos sin grasa
Hojuelas de 7 fibras;taza;60;1;353.3;14.3;1.3;0.3;0;78;2;14;53.3;Cereales y tubérculos sin grasa
Hojuelas de arroz;taza;31;1;354.8;20.6;1;0;0;72.3;9.7;3.2;806.5;Cereales y tubérculos sin grasa
Hojuelas de avena;taza;80;1;245.2;17.4;7.1;1.3;0;66.1;0;15.5;3.2;Cereales y tubérculos sin grasa
Hojuelas de avena con maple;taza;80;1;245.2;17.4;7.1;1.3;0;66.1;0;15.5;3.2;Cereales y tubérculos sin grasa
Hojuelas de avena endulzadas con miel y almendras;taza;4.133.333.333;1;406.5;7.7;8.4;1;0;78.1;21;4.5;603.2;Cereales y tubérculos sin grasa
Hojuelas de avena instantaneascon pasas y especias. Preparado;taza;246;1;100;2.1;1.1;0.2;0;20.3;9.7;1.6;151.2;Cereales y tubérculos sin grasa
Hojuelas de avena instanteaneas con miel maple y azúcar morena. Preparado;taza;235;1;101.3;2.4;1.3;0.2;0;20.1;8.1;1.8;163.2;Cereales y tubérculos sin grasa
Hojuelas de cereales con fruta seca;taza;55;1;381.8;7.3;5.5;0;0;76.4;0;5.5;600;Cereales y tubérculos sin grasa
Hojuelas de cereales con frutas secas;taza;55;1;381.8;7.3;5.5;0;0;76.4;0;5.5;600;Cereales y tubérculos sin grasa
Hojuelas de maíz;taza;25;1;357;7.5;0.4;0;0;84.1;9.5;3.3;729;Cereales y tubérculos sin grasa
Hojuelas de maíz azucaradas;taza;40;1;391;5;0.4;0;0;90.9;37.4;1.9;573;Cereales y tubérculos sin grasa
Hojuelas de maíz y trigo con fruta y nueces;taza;55;1;381.8;7.3;5.5;0;0;76.4;0;5.5;600;Cereales y tubérculos sin grasa
Hojuelas de papa para puré;g;1;1;354;8.3;0.4;0;0;81.2;3.4;6.6;104;Cereales y tubérculos sin grasa
Hojuelas de salvado;taza;59;1;322;8.6;2.2;0.3;0;77.3;29.8;11;579.7;Cereales y tubérculos sin grasa
Hojuelas de salvado con pasas;taza;53;1;354.7;6;1.9;0.4;0;84.9;37.7;7.5;394.3;Cereales y tubérculos sin grasa
Hojuelas de trigo;taza;35;1;339;10.2;1.6;0;0;80.5;0;1.6;1032;Cereales y tubérculos sin grasa
Hojuelas de trigo con miel;taza;35;1;354;8.9;2.1;0.7;0;81.8;0;11.1;578.6;Cereales y tubérculos sin grasa
Hojuelas de trigo integral;taza;31;1;377.4;22.6;1.6;0.3;0;71;12.9;2.3;722.6;Cereales y tubérculos sin grasa
Hojuelas de trigo integral con  frutos rojos;taza;31;1;367.7;12.3;1;0.3;0;80.6;32.3;3.2;709.7;Cereales y tubérculos sin grasa
Hojuelas de trigo integral con chispas de yoghurt;taza;3.733.333.333;1;342.9;11.1;5.2;3;0;78.8;13;18;419.6;Cereales y tubérculos sin grasa
Hojuelas de trigo integral con fibra extra;taza;52;1;192.3;14.5;4.5;1;0;100;5;65;6200;Cereales y tubérculos sin grasa
Hojuelas de trigo integral con frutas y yoghurt;taza;4.266.666.667;1;381.3;6.9;2.8;1.6;0;77.8;40.3;2.5;428.1;Cereales y tubérculos sin grasa
Hojuelas de trigo negro;taza;168;1;92.3;3.4;0.6;0.1;0;19.9;0.9;2.7;4.2;Cereales y tubérculos sin grasa
Hojuelas fortificadas de trigo entero, almendras, nueces y miel;taza;60;1;387;10.3;8.5;2.7;0;76.2;21.7;8.9;503;Cereales y tubérculos sin grasa
Hojuelasde avena instantaneas con manzana y canela;taza;225;1;87.2;1.8;1;0.1;0;17.8;8.1;1.8;110.7;Cereales y tubérculos sin grasa
Hot cake;pieza;50;1;183.2;6.7;6;1.9;57.9;25.9;0;0;439.5;Cereales y tubérculos sin grasa
Lasagna cruda;g;1;1;340;9.4;0.4;0.2;0;72.8;0;1.9;2;Cereales y tubérculos sin grasa
Lasaña cruda;g;1;1;340;9.4;0.4;0.2;0;72.8;0;1.9;2;Cereales y tubérculos sin grasa
Macarrón cocido;taza;140;1;140.7;4.8;0.6;0.1;0;28.4;0;1.3;0.7;Cereales y tubérculos sin grasa
Macarrón crudo;g;1;1;340;9.4;0.4;0.2;0;72.8;0;1.9;2;Cereales y tubérculos sin grasa
Macarrón integral cocido;taza;140;1;124.3;5.4;0.6;0.1;0;26.6;0;2.8;2.9;Cereales y tubérculos sin grasa
Maicena;cucharada;8;1;375;0;0;0;0;90;0;0;0;Cereales y tubérculos sin grasa
Maicena de sabor;cucharada;8;1;375;0;0;0;0;90;0;0;0;Cereales y tubérculos sin grasa
Maíz;g;1;1;364;11.7;4.7;0.5;0;70.8;0;12.2;1;Cereales y tubérculos sin grasa
Maíz amarillo;g;1;1;364;11.7;4.7;0.5;0;70.8;0;12.2;1;Cereales y tubérculos sin grasa
Maíz amarillo cocido;g;1;1;364;11.7;4.7;0.5;0;70.8;0;12.2;1;Cereales y tubérculos sin grasa
Maíz azul;g;1;1;366;8;4.3;0.4;0;74.6;0;12.2;1;Cereales y tubérculos sin grasa
Maíz blanco;g;1;1;364;11.7;4.7;0.5;0;70.8;0;12.2;1;Cereales y tubérculos sin grasa
Maíz blanco cocido;g;1;1;364;11.7;4.7;0.5;0;70.8;0;12.2;1;Cereales y tubérculos sin grasa
Maíz cacahuacintle;g;1;1;364;11.7;4.7;0.5;0;70.8;0;12.2;1;Cereales y tubérculos sin grasa
Maíz cacahuazintle;g;1;1;364;11.7;4.7;0.5;0;70.8;0;12.2;1;Cereales y tubérculos sin grasa
Maíz palomero;g;1;1;365;12.2;4.6;0.5;0;71.1;0;12.2;1;Cereales y tubérculos sin grasa
Maíz pozolero;taza;164;1;108;3.3;1.3;0.2;0;25.1;0;2.7;17;Cereales y tubérculos sin grasa
Maizena;cucharada;8;1;375;0;0;0;0;90;0;0;0;Cereales y tubérculos sin grasa
Maízena;cucharada;8;1;375;0;0;0;0;90;0;0;0;Cereales y tubérculos sin grasa
Malanga;g;1;1;112;1.5;0.2;0;0;26.5;0;4.1;11;Cereales y tubérculos sin grasa
Marías;pieza;3.7;1;405.4;7.4;7.4;3.7;0;77;26;2.4;608.1;Cereales y tubérculos sin grasa
Marias Cerealé fresa;pieza;10;1;440;7;14;4.5;0;71.5;23;9;425;Cereales y tubérculos sin grasa
Masa de maíz;g;1;1;154;3.5;1.9;0.2;0;31.8;0;3.4;0;Cereales y tubérculos sin grasa
Masa de maíz amarillo;g;1;1;189;4.4;2.2;0.2;0;38.5;0;3.4;0;Cereales y tubérculos sin grasa
Masa de maíz blanco;g;1;1;154;3.5;1.9;0.2;0;31.8;0;3.4;0;Cereales y tubérculos sin grasa
Masa para tortillas;g;1;1;154;3.5;1.9;0.2;0;31.8;0;3.4;0;Cereales y tubérculos sin grasa
Masa Yucatán;g;1;1;173;4.6;1.2;0.2;0;36.4;0;3.4;0;Cereales y tubérculos sin grasa
Media noche;pieza;43;1;255.8;9.3;4.7;0;0;48.8;7;2.3;488.4;Cereales y tubérculos sin grasa
Media noche con ajonjolí;pieza;43;1;255.8;9.3;4.7;0;0;48.8;7;2.3;488.4;Cereales y tubérculos sin grasa
Mijo cocido;taza;174;1;119;3.5;1;0.2;0;23.7;0.1;1.3;1.7;Cereales y tubérculos sin grasa
Mijo crudo;g;1;1;378;11;4.2;0.7;0;72.9;ND;8.5;5;Cereales y tubérculos sin grasa
Mueslix con manzana y almendra;taza;71;1;383;9.8;9.1;0;0;74.3;16.8;8.5;490.6;Cereales y tubérculos sin grasa
Nixtamal;g;1;1;154;3.5;1.9;0.2;0;31.8;0;3.4;0;Cereales y tubérculos sin grasa
Nutritas variedad de sabores;bolsita;33;1;408.6;8.6;8.6;ND;ND;74.3;2.9;2.9;600;Cereales y tubérculos sin grasa
Ñame;g;1;1;77;2.2;0.1;0;0;17.5;0;0.5;9;Cereales y tubérculos sin grasa
Palanqueta de amaranto;pieza;40;1;360;16;8.5;ND;ND;83;56;3;0;Cereales y tubérculos sin grasa
Palanqueta de amaranto con pasas;pieza;40;1;392.6;7.5;ND;ND;ND;84.7;ND;ND;0;Cereales y tubérculos sin grasa
Palitos de pan;pieza;6;1;410;12;9.5;1.5;0;68.5;0;3;655;Cereales y tubérculos sin grasa
Palomitas;taza;7;1;400;20;0;0;0;80;0;20;800;Cereales y tubérculos sin grasa
Palomitas acarameladas;taza;35;1;431.4;3.7;12.9;3.7;5.7;79.1;39.4;5.1;205.7;Cereales y tubérculos sin grasa
Palomitas acarameladas sin grasa;taza;25;1;366.7;9.3;0;0;0;53.3;3.3;0;700;Cereales y tubérculos sin grasa
Palomitas fat free;taza;7;1;400;20;0;0;0;80;0;20;800;Cereales y tubérculos sin grasa
Palomitas naturales;taza;7;1;400;20;0;0;0;80;0;20;800;Cereales y tubérculos sin grasa
Palomitas sin grasa;taza;7;1;400;20;0;0;0;80;0;20;800;Cereales y tubérculos sin grasa
Pambazo;pieza;50;1;266;10;4;0.7;0;50;4;6;569;Cereales y tubérculos sin grasa
Pan 5 granos;rebanada;25;1;246;9.5;8.3;0;0;38.2;0;6.5;332;Cereales y tubérculos sin grasa
Pan 7 granos;rebanada;26;1;250;10;3.8;0.8;0;46.5;0;6.5;488.5;Cereales y tubérculos sin grasa
Pan ácimo;pieza;60;1;290;6.7;5;1.2;18.3;56;0;2.7;398.3;Cereales y tubérculos sin grasa
Pan árabe;pieza;60;1;275;9.1;1.2;0.2;0;55.7;1.3;2.2;536;Cereales y tubérculos sin grasa
Pan árabe integral;pieza;64;1;265.6;9.8;2.7;0.5;0;55;0;7.3;531.3;Cereales y tubérculos sin grasa
Pan bagel dulce;pieza;71;1;274.6;9.9;1.7;0.3;0;55.2;0;2.3;322.5;Cereales y tubérculos sin grasa
Pan bagel integral;pieza;71;1;255;10.7;1.2;0;0;53.3;0;3.6;507;Cereales y tubérculos sin grasa
Pan bagel salado;pieza;71;1;274.6;10.6;1.5;0.3;0;53.4;0;2.3;533.8;Cereales y tubérculos sin grasa
Pan baguette;pieza;180;1;268;8;3.6;0.8;0;49.6;3.6;2.4;540;Cereales y tubérculos sin grasa
Pan birote;pieza;65;1;307;9.5;0.2;0;0;64.9;0;0.5;569;Cereales y tubérculos sin grasa
Pan blanco;rebanada;27;1;262.9;8.3;3.1;0.9;0.4;50.6;0;1.8;555.3;Cereales y tubérculos sin grasa
Pan centeno;rebanada;32;1;259.4;8.4;3.4;0.6;0;48.4;0;5.9;659.4;Cereales y tubérculos sin grasa
Pan con salvado;rebanada;36;1;247.2;8.9;3.3;0.8;0;47.8;0;3.9;486.1;Cereales y tubérculos sin grasa
Pan de 5 granos;rebanada;25;1;246;9.5;8.3;0;0;38.2;0;6.5;332;Cereales y tubérculos sin grasa
Pan de 7 granos;rebanada;26;1;250;10;3.8;0.8;0;46.5;0;6.5;488.5;Cereales y tubérculos sin grasa
Pan de avena;rebanada;30;1;236.7;10.3;4.3;0.7;0;39.7;0;4.3;406.7;Cereales y tubérculos sin grasa
Pan de caja;rebanada;27;1;262.9;8.3;3.1;0.9;0.4;50.6;0;1.8;555.3;Cereales y tubérculos sin grasa
Pan de caja integral;rebanada;25;1;266;9.4;3.8;1;0.4;50.4;0;4.2;583;Cereales y tubérculos sin grasa
Pan de centeno y comino;rebanada;20;1;276.5;8.5;2.5;0;0;55;0;1.5;700;Cereales y tubérculos sin grasa
Pan de centeno y trigo;rebanada;28;1;261;9.2;0.7;0;0;53.4;0;0.4;557;Cereales y tubérculos sin grasa
Pan de girasol integral;pieza;25;1;229;8.4;5.6;0.6;0;38.7;0;4.6;362;Cereales y tubérculos sin grasa
Pan de hamburguesa chico;pieza;51;1;260.8;9.8;4.3;0.4;0;50.4;7.3;2.5;437.3;Cereales y tubérculos sin grasa
Pan de hot dog;pieza;43;1;255.8;9.3;4.7;0;0;48.8;7;2.3;488.4;Cereales y tubérculos sin grasa
Pan de hot dog con ajonjolí;pieza;43;1;255.8;9.3;4.7;0;0;48.8;7;2.3;488.4;Cereales y tubérculos sin grasa
Pan de jengibre;rebanada;25;1;287.5;3.8;8.8;2.5;31.3;47.5;25;0;462.5;Cereales y tubérculos sin grasa
Pan de miel y avena;rebanada;28;1;253.6;10.7;3.9;0;0;45.4;0;3.2;500;Cereales y tubérculos sin grasa
Pan de plátano;rebanada;28;1;326;4.3;10.5;0;15;54.6;0;1.1;302;Cereales y tubérculos sin grasa
Pan de trigo con arroz;rebanada;28;1;282.2;6.5;7.2;0;15;48.7;0;0.2;407;Cereales y tubérculos sin grasa
Pan integral;rebanada;25;1;266;9.4;3.8;1;0.4;50.4;0;4.2;583;Cereales y tubérculos sin grasa
Pan matza;pieza;28;1;400;10;1.4;0.4;0;84.6;0;3.2;3.6;Cereales y tubérculos sin grasa
Pan melba;pieza;5;1;400;12;4;0;0;76;0;6;820;Cereales y tubérculos sin grasa
Pan molido;cucharadita;2;1;411;13.1;6.5;0;0;73.8;0;1.6;599;Cereales y tubérculos sin grasa
Pan negro;rebanada;26;1;265;8;2.1;0;0;58.3;0;1;557;Cereales y tubérculos sin grasa
Pan negro con trigo;rebanada;25;1;261;8;2.1;0;0;58.3;0;1;0;Cereales y tubérculos sin grasa
Pan para hamburguesa chico;pieza;51;1;260.8;9.8;4.3;0.4;0;50.4;7.3;2.5;437.3;Cereales y tubérculos sin grasa
Pan para hamburguesa grande;pieza;75;1;260.8;9.8;4.3;0.4;0;50.4;7.3;2.5;437.3;Cereales y tubérculos sin grasa
Pan para pambazo;pieza;50;1;266;10;4;0.7;0;50;4;6;569;Cereales y tubérculos sin grasa
"Pan tipo ""english muffin""";pieza;57;1;235.1;7.7;1.8;0.2;0;46;0;2.6;463.2;Cereales y tubérculos sin grasa
Pan tipo media noche;pieza;43;1;255.8;9.3;4.7;0;0;48.8;7;2.3;488.4;Cereales y tubérculos sin grasa
Pan tostado;rebanada;15;1;427;10.7;8;2;0;78.7;14.7;0.7;587;Cereales y tubérculos sin grasa
Panqué fat-free;rebanada;50;1;283;5.4;1.2;0.3;0;61;34.4;1.1;341;Cereales y tubérculos sin grasa
Papa al horno con cáscara;pieza;156;1;93;2;0.1;0;0;21.6;1.7;1.5;5;Cereales y tubérculos sin grasa
Papa al horno sin cáscara;pieza;156;1;92.9;2;0.1;0;0;21.5;1.7;1.5;5.1;Cereales y tubérculos sin grasa
Papa cocida;pieza;136;1;86.7;1.9;0.1;0;0;20.1;0.9;1.8;3.7;Cereales y tubérculos sin grasa
Papa cocida sin cáscara;pieza;136;1;86;1.7;0.1;0;0;20.1;0.9;1.8;5;Cereales y tubérculos sin grasa
Papa de agua;pieza;95;1;91;3.4;0.2;0;0;19.9;0;0.5;0;Cereales y tubérculos sin grasa
Papa de cambray;pieza;23;1;76;1.6;0.1;0;0;17.5;0;0.5;6;Cereales y tubérculos sin grasa
Papa hervida con piel;pieza;136;1;86.7;1.9;0.1;0;0;20.1;0.9;1.8;3.7;Cereales y tubérculos sin grasa
Papa hervida pelada;pieza;136;1;86;1.7;0.1;0;0;20.1;0.9;1.8;5;Cereales y tubérculos sin grasa
Papa picada;taza;170;1;69;1.7;0.1;0;0;15.7;1.2;2.4;6;Cereales y tubérculos sin grasa
Papa roja cruda;pieza;170;1;70;1.9;0.1;0;0;15.9;1;1.7;6;Cereales y tubérculos sin grasa
Papas hojuelas para puré;g;1;1;354;8.3;0.4;0;0;81.2;3.4;6.6;104;Cereales y tubérculos sin grasa
Papilla de arroz;taza;33;1;404;8.7;3;0;0;85.7;0.9;6.5;12;Cereales y tubérculos sin grasa
Papilla de arroz deshidratada;g;1;1;391;7.1;4.9;0;0;77.6;0.1;0.5;32;Cereales y tubérculos sin grasa
Papilla de avena deshidratada;g;1;1;371;6.6;1.6;0;0;80;0;0.5;273;Cereales y tubérculos sin grasa
Papilla de maíz deshidratada;sobre;28;1;342.9;8.6;1.1;0;0;78.9;0.4;5.4;1089.3;Cereales y tubérculos sin grasa
Pasta cocida;taza;120;1;129.8;5.3;1.8;0.4;40.4;23.3;0;0;82.5;Cereales y tubérculos sin grasa
